,+10_position,+10_word,+1_position,+1_word,+2_position,+2_word,+3_position,+3_word,+4_position,+4_word,+5_position,+5_word,+6_position,+6_word,+7_position,+7_word,+8_position,+8_word,+9_position,+9_word,-10_position,-10_word,-1_position,-1_word,-2_position,-2_word,-3_position,-3_word,-4_position,-4_word,-5_position,-5_word,-6_position,-6_word,-7_position,-7_word,-8_position,-8_word,-9_position,-9_word,agent_word,classification,patient_word,relation_position,relation_word
17,54,proposals,32,submit,34,government,36,program,39,list,41,executive,42,members,44,parliament,50,MPs,52,endorse,10,Zinaida,27,date,24,days,21,Greceanii,20,Ms,18,constitution,16,Under,14,minister,13,prime,11,Greceanii,52 of the 101 mps,False,her proposals,30,decree
18,-999,,34,government,36,program,39,list,41,executive,42,members,44,parliament,50,MPs,52,endorse,54,proposals,11,Greceanii,30,decree,27,date,24,days,21,Greceanii,20,Ms,18,constitution,16,Under,14,minister,13,prime,52 of the 101 mps,False,her proposals,32,submit
19,-999,,36,program,39,list,41,executive,42,members,44,parliament,50,MPs,52,endorse,54,proposals,-999,,13,prime,32,submit,30,decree,27,date,24,days,21,Greceanii,20,Ms,18,constitution,16,Under,14,minister,52 of the 101 mps,False,her proposals,34,government
20,-999,,39,list,41,executive,42,members,44,parliament,50,MPs,52,endorse,54,proposals,-999,,-999,,14,minister,34,government,32,submit,30,decree,27,date,24,days,21,Greceanii,20,Ms,18,constitution,16,Under,52 of the 101 mps,False,her proposals,36,program
21,-999,,41,executive,42,members,44,parliament,50,MPs,52,endorse,54,proposals,-999,,-999,,-999,,16,Under,36,program,34,government,32,submit,30,decree,27,date,24,days,21,Greceanii,20,Ms,18,constitution,52 of the 101 mps,False,her proposals,39,list
22,-999,,42,members,44,parliament,50,MPs,52,endorse,54,proposals,-999,,-999,,-999,,-999,,18,constitution,39,list,36,program,34,government,32,submit,30,decree,27,date,24,days,21,Greceanii,20,Ms,52 of the 101 mps,False,her proposals,41,executive
23,-999,,44,parliament,50,MPs,52,endorse,54,proposals,-999,,-999,,-999,,-999,,-999,,20,Ms,41,executive,39,list,36,program,34,government,32,submit,30,decree,27,date,24,days,21,Greceanii,52 of the 101 mps,False,her proposals,42,members
24,-999,,50,MPs,52,endorse,54,proposals,-999,,-999,,-999,,-999,,-999,,-999,,21,Greceanii,42,members,41,executive,39,list,36,program,34,government,32,submit,30,decree,27,date,24,days,52 of the 101 mps,False,her proposals,44,parliament
25,72,Economic,52,endorse,54,proposals,57,Zinaida,58,Greceanii,60,born,64,graduated,67,Chisinau,69,based,70,Financial,24,days,44,parliament,42,members,41,executive,39,list,36,program,34,government,32,submit,30,decree,27,date,52 of the 101 mps,False,her proposals,50,MPs
26,73,College,54,proposals,57,Zinaida,58,Greceanii,60,born,64,graduated,67,Chisinau,69,based,70,Financial,72,Economic,27,date,50,MPs,44,parliament,42,members,41,executive,39,list,36,program,34,government,32,submit,30,decree,52 of the 101 mps,True,her proposals,52,endorse
27,76,Moldovan,57,Zinaida,58,Greceanii,60,born,64,graduated,67,Chisinau,69,based,70,Financial,72,Economic,73,College,30,decree,52,endorse,50,MPs,44,parliament,42,members,41,executive,39,list,36,program,34,government,32,submit,52 of the 101 mps,False,her proposals,54,proposals
28,78,University,60,born,64,graduated,67,Chisinau,69,based,70,Financial,72,Economic,73,College,76,Moldovan,77,State,-999,,57,Zinaida,54,proposals,52,endorse,50,MPs,-999,,-999,,-999,,-999,,-999,,52 of the 101 mps,False,her proposals,58,Greceanii
29,80,specialising,64,graduated,67,Chisinau,69,based,70,Financial,72,Economic,73,College,76,Moldovan,77,State,78,University,-999,,58,Greceanii,57,Zinaida,54,proposals,52,endorse,50,MPs,-999,,-999,,-999,,-999,,52 of the 101 mps,False,her proposals,60,born
30,82,economics,67,Chisinau,69,based,70,Financial,72,Economic,73,College,76,Moldovan,77,State,78,University,80,specialising,-999,,60,born,58,Greceanii,57,Zinaida,54,proposals,52,endorse,50,MPs,-999,,-999,,-999,,52 of the 101 mps,False,her proposals,64,graduated
31,84,Since,69,based,70,Financial,72,Economic,73,College,76,Moldovan,77,State,78,University,80,specialising,82,economics,-999,,64,graduated,60,born,58,Greceanii,57,Zinaida,54,proposals,52,endorse,50,MPs,-999,,-999,,52 of the 101 mps,False,her proposals,67,Chisinau
32,91,posts,72,Economic,73,College,76,Moldovan,77,State,78,University,80,specialising,82,economics,84,Since,89,held,-999,,69,based,67,Chisinau,64,graduated,60,born,58,Greceanii,57,Zinaida,54,proposals,52,endorse,50,MPs,52 of the 101 mps,False,her proposals,70,Financial
33,94,Finance,73,College,76,Moldovan,77,State,78,University,80,specialising,82,economics,84,Since,89,held,91,posts,50,MPs,70,Financial,69,based,67,Chisinau,64,graduated,60,born,58,Greceanii,57,Zinaida,54,proposals,52,endorse,52 of the 101 mps,False,her proposals,72,Economic
34,95,Ministry,76,Moldovan,77,State,78,University,80,specialising,82,economics,84,Since,89,held,91,posts,94,Finance,52,endorse,72,Economic,70,Financial,69,based,67,Chisinau,64,graduated,60,born,58,Greceanii,57,Zinaida,54,proposals,52 of the 101 mps,False,her proposals,73,College
35,-999,,77,State,78,University,80,specialising,82,economics,84,Since,89,held,91,posts,94,Finance,95,Ministry,54,proposals,73,College,72,Economic,70,Financial,69,based,67,Chisinau,64,graduated,60,born,58,Greceanii,57,Zinaida,52 of the 101 mps,False,her proposals,76,Moldovan
36,-999,,78,University,80,specialising,82,economics,84,Since,89,held,91,posts,94,Finance,95,Ministry,-999,,57,Zinaida,76,Moldovan,73,College,72,Economic,70,Financial,69,based,67,Chisinau,64,graduated,60,born,58,Greceanii,52 of the 101 mps,False,her proposals,77,State
37,-999,,80,specialising,82,economics,84,Since,89,held,91,posts,94,Finance,95,Ministry,-999,,-999,,58,Greceanii,77,State,76,Moldovan,73,College,72,Economic,70,Financial,69,based,67,Chisinau,64,graduated,60,born,52 of the 101 mps,False,her proposals,78,University
38,-999,,82,economics,84,Since,89,held,91,posts,94,Finance,95,Ministry,-999,,-999,,-999,,60,born,78,University,77,State,76,Moldovan,73,College,72,Economic,70,Financial,69,based,67,Chisinau,64,graduated,52 of the 101 mps,False,her proposals,80,specialising
39,-999,,84,Since,89,held,91,posts,94,Finance,95,Ministry,-999,,-999,,-999,,-999,,64,graduated,80,specialising,78,University,77,State,76,Moldovan,73,College,72,Economic,70,Financial,69,based,67,Chisinau,52 of the 101 mps,False,her proposals,82,economics
40,106,head,89,held,91,posts,94,Finance,95,Ministry,97,Ms,98,Greceanii,99,began,102,office,105,deputy,67,Chisinau,82,economics,80,specialising,78,University,77,State,76,Moldovan,73,College,72,Economic,70,Financial,69,based,52 of the 101 mps,False,her proposals,84,Since
41,109,budget,91,posts,94,Finance,95,Ministry,97,Ms,98,Greceanii,99,began,102,office,105,deputy,106,head,69,based,84,Since,82,economics,80,specialising,78,University,77,State,76,Moldovan,73,College,72,Economic,70,Financial,52 of the 101 mps,False,her proposals,89,held
42,111,elaboration,94,Finance,95,Ministry,97,Ms,98,Greceanii,99,began,102,office,105,deputy,106,head,109,budget,70,Financial,89,held,84,Since,82,economics,80,specialising,78,University,77,State,76,Moldovan,73,College,72,Economic,52 of the 101 mps,False,her proposals,91,posts
43,113,analysis,95,Ministry,97,Ms,98,Greceanii,99,began,102,office,105,deputy,106,head,109,budget,111,elaboration,72,Economic,91,posts,89,held,84,Since,82,economics,80,specialising,78,University,77,State,76,Moldovan,73,College,52 of the 101 mps,False,her proposals,94,Finance
44,114,general,97,Ms,98,Greceanii,99,began,102,office,105,deputy,106,head,109,budget,111,elaboration,113,analysis,73,College,94,Finance,91,posts,89,held,84,Since,82,economics,80,specialising,78,University,77,State,76,Moldovan,52 of the 101 mps,False,her proposals,95,Ministry
45,115,directorate,98,Greceanii,99,began,102,office,105,deputy,106,head,109,budget,111,elaboration,113,analysis,114,general,-999,,95,Ministry,94,Finance,91,posts,89,held,84,Since,-999,,-999,,-999,,-999,,52 of the 101 mps,False,her proposals,97,Ms
46,117,She,99,began,102,office,105,deputy,106,head,109,budget,111,elaboration,113,analysis,114,general,115,directorate,-999,,97,Ms,95,Ministry,94,Finance,91,posts,89,held,84,Since,-999,,-999,,-999,,52 of the 101 mps,False,her proposals,98,Greceanii
47,120,department,102,office,105,deputy,106,head,109,budget,111,elaboration,113,analysis,114,general,115,directorate,117,She,-999,,98,Greceanii,97,Ms,95,Ministry,94,Finance,91,posts,89,held,84,Since,-999,,-999,,52 of the 101 mps,False,her proposals,99,began
48,122,minister,105,deputy,106,head,109,budget,111,elaboration,113,analysis,114,general,115,directorate,117,She,120,department,-999,,99,began,98,Greceanii,97,Ms,95,Ministry,94,Finance,91,posts,89,held,84,Since,-999,,52 of the 101 mps,False,her proposals,102,office
49,125,till,106,head,109,budget,111,elaboration,113,analysis,114,general,115,directorate,117,She,120,department,122,minister,-999,,102,office,99,began,98,Greceanii,97,Ms,95,Ministry,94,Finance,91,posts,89,held,84,Since,52 of the 101 mps,False,her proposals,105,deputy
50,131,presidential,109,budget,111,elaboration,113,analysis,114,general,115,directorate,117,She,120,department,122,minister,125,till,84,Since,105,deputy,102,office,99,began,98,Greceanii,97,Ms,95,Ministry,94,Finance,91,posts,89,held,52 of the 101 mps,False,her proposals,106,head
51,132,decree,111,elaboration,113,analysis,114,general,115,directorate,117,She,120,department,122,minister,125,till,131,presidential,89,held,106,head,105,deputy,102,office,99,began,98,Greceanii,97,Ms,95,Ministry,94,Finance,91,posts,52 of the 101 mps,False,her proposals,109,budget
52,137,deputy,113,analysis,114,general,115,directorate,117,She,120,department,122,minister,125,till,131,presidential,132,decree,91,posts,109,budget,106,head,105,deputy,102,office,99,began,98,Greceanii,97,Ms,95,Ministry,94,Finance,52 of the 101 mps,False,her proposals,111,elaboration
53,138,prime,114,general,115,directorate,117,She,120,department,122,minister,125,till,131,presidential,132,decree,137,deputy,94,Finance,111,elaboration,109,budget,106,head,105,deputy,102,office,99,began,98,Greceanii,97,Ms,95,Ministry,52 of the 101 mps,False,her proposals,113,analysis
54,139,minister,115,directorate,117,She,120,department,122,minister,125,till,131,presidential,132,decree,137,deputy,138,prime,95,Ministry,113,analysis,111,elaboration,109,budget,106,head,105,deputy,102,office,99,began,98,Greceanii,97,Ms,52 of the 101 mps,False,her proposals,114,general
55,-999,,117,She,120,department,122,minister,125,till,131,presidential,132,decree,137,deputy,138,prime,139,minister,97,Ms,114,general,113,analysis,111,elaboration,109,budget,106,head,105,deputy,102,office,99,began,98,Greceanii,52 of the 101 mps,False,her proposals,115,directorate
56,-999,,120,department,122,minister,125,till,131,presidential,132,decree,137,deputy,138,prime,139,minister,-999,,98,Greceanii,115,directorate,114,general,113,analysis,111,elaboration,109,budget,106,head,105,deputy,102,office,99,began,52 of the 101 mps,False,her proposals,117,She
57,-999,,122,minister,125,till,131,presidential,132,decree,137,deputy,138,prime,139,minister,-999,,-999,,99,began,117,She,115,directorate,114,general,113,analysis,111,elaboration,109,budget,106,head,105,deputy,102,office,52 of the 101 mps,False,her proposals,120,department
58,-999,,125,till,131,presidential,132,decree,137,deputy,138,prime,139,minister,-999,,-999,,-999,,102,office,120,department,117,She,115,directorate,114,general,113,analysis,111,elaboration,109,budget,106,head,105,deputy,52 of the 101 mps,False,her proposals,122,minister
59,-999,,131,presidential,132,decree,137,deputy,138,prime,139,minister,-999,,-999,,-999,,-999,,105,deputy,122,minister,120,department,117,She,115,directorate,114,general,113,analysis,111,elaboration,109,budget,106,head,52 of the 101 mps,False,her proposals,125,till
60,-999,,132,decree,137,deputy,138,prime,139,minister,-999,,-999,,-999,,-999,,-999,,106,head,125,till,122,minister,120,department,117,She,115,directorate,114,general,113,analysis,111,elaboration,109,budget,52 of the 101 mps,False,her proposals,131,presidential
61,-999,,137,deputy,138,prime,139,minister,-999,,-999,,-999,,-999,,-999,,-999,,109,budget,131,presidential,125,till,122,minister,120,department,117,She,115,directorate,114,general,113,analysis,111,elaboration,52 of the 101 mps,False,her proposals,132,decree
62,-999,,138,prime,139,minister,-999,,-999,,-999,,-999,,-999,,-999,,-999,,111,elaboration,132,decree,131,presidential,125,till,122,minister,120,department,117,She,115,directorate,114,general,113,analysis,52 of the 101 mps,False,her proposals,137,deputy
63,-999,,139,minister,-999,,-999,,-999,,-999,,-999,,-999,,-999,,-999,,113,analysis,137,deputy,132,decree,131,presidential,125,till,122,minister,120,department,117,She,115,directorate,114,general,52 of the 101 mps,False,her proposals,138,prime
64,14,minister,2,Voronin,4,Moldova,5,today,6,signed,8,decree,9,nominating,10,Zinaida,11,Greceanii,13,prime,117,She,0,President,139,minister,138,prime,137,deputy,132,decree,131,presidential,125,till,122,minister,120,department,Vladimir_Voronin,False,Zinaida_Greceanîi,1,Vladimir
65,16,Under,4,Moldova,5,today,6,signed,8,decree,9,nominating,10,Zinaida,11,Greceanii,13,prime,14,minister,120,department,1,Vladimir,0,President,139,minister,138,prime,137,deputy,132,decree,131,presidential,125,till,122,minister,Vladimir_Voronin,False,Zinaida_Greceanîi,2,Voronin
66,18,constitution,5,today,6,signed,8,decree,9,nominating,10,Zinaida,11,Greceanii,13,prime,14,minister,16,Under,122,minister,2,Voronin,1,Vladimir,0,President,139,minister,138,prime,137,deputy,132,decree,131,presidential,125,till,Vladimir_Voronin,False,Zinaida_Greceanîi,4,Moldova
67,20,Ms,6,signed,8,decree,9,nominating,10,Zinaida,11,Greceanii,13,prime,14,minister,16,Under,18,constitution,125,till,4,Moldova,2,Voronin,1,Vladimir,0,President,139,minister,138,prime,137,deputy,132,decree,131,presidential,Vladimir_Voronin,False,Zinaida_Greceanîi,5,today
68,21,Greceanii,8,decree,9,nominating,10,Zinaida,11,Greceanii,13,prime,14,minister,16,Under,18,constitution,20,Ms,131,presidential,5,today,4,Moldova,2,Voronin,1,Vladimir,0,President,139,minister,138,prime,137,deputy,132,decree,Vladimir_Voronin,True,Zinaida_Greceanîi,6,signed
69,24,days,9,nominating,10,Zinaida,11,Greceanii,13,prime,14,minister,16,Under,18,constitution,20,Ms,21,Greceanii,132,decree,6,signed,5,today,4,Moldova,2,Voronin,1,Vladimir,0,President,139,minister,138,prime,137,deputy,Vladimir_Voronin,False,Zinaida_Greceanîi,8,decree
70,27,date,10,Zinaida,11,Greceanii,13,prime,14,minister,16,Under,18,constitution,20,Ms,21,Greceanii,24,days,137,deputy,8,decree,6,signed,5,today,4,Moldova,2,Voronin,1,Vladimir,0,President,139,minister,138,prime,Vladimir_Voronin,False,Zinaida_Greceanîi,9,nominating
71,30,decree,11,Greceanii,13,prime,14,minister,16,Under,18,constitution,20,Ms,21,Greceanii,24,days,27,date,138,prime,9,nominating,8,decree,6,signed,5,today,4,Moldova,2,Voronin,1,Vladimir,0,President,139,minister,Vladimir_Voronin,False,Zinaida_Greceanîi,10,Zinaida
72,32,submit,13,prime,14,minister,16,Under,18,constitution,20,Ms,21,Greceanii,24,days,27,date,30,decree,139,minister,10,Zinaida,9,nominating,8,decree,6,signed,5,today,4,Moldova,2,Voronin,1,Vladimir,0,President,Vladimir_Voronin,False,Zinaida_Greceanîi,11,Greceanii
73,34,government,14,minister,16,Under,18,constitution,20,Ms,21,Greceanii,24,days,27,date,30,decree,32,submit,0,President,11,Greceanii,10,Zinaida,9,nominating,8,decree,6,signed,5,today,4,Moldova,2,Voronin,1,Vladimir,Vladimir_Voronin,False,Zinaida_Greceanîi,13,prime
74,36,program,16,Under,18,constitution,20,Ms,21,Greceanii,24,days,27,date,30,decree,32,submit,34,government,1,Vladimir,13,prime,11,Greceanii,10,Zinaida,9,nominating,8,decree,6,signed,5,today,4,Moldova,2,Voronin,Vladimir_Voronin,False,Zinaida_Greceanîi,14,minister
75,39,list,18,constitution,20,Ms,21,Greceanii,24,days,27,date,30,decree,32,submit,34,government,36,program,2,Voronin,14,minister,13,prime,11,Greceanii,10,Zinaida,9,nominating,8,decree,6,signed,5,today,4,Moldova,Vladimir_Voronin,False,Zinaida_Greceanîi,16,Under
76,41,executive,20,Ms,21,Greceanii,24,days,27,date,30,decree,32,submit,34,government,36,program,39,list,4,Moldova,16,Under,14,minister,13,prime,11,Greceanii,10,Zinaida,9,nominating,8,decree,6,signed,5,today,Vladimir_Voronin,False,Zinaida_Greceanîi,18,constitution
77,42,members,21,Greceanii,24,days,27,date,30,decree,32,submit,34,government,36,program,39,list,41,executive,5,today,18,constitution,16,Under,14,minister,13,prime,11,Greceanii,10,Zinaida,9,nominating,8,decree,6,signed,Vladimir_Voronin,False,Zinaida_Greceanîi,20,Ms
78,44,parliament,24,days,27,date,30,decree,32,submit,34,government,36,program,39,list,41,executive,42,members,6,signed,20,Ms,18,constitution,16,Under,14,minister,13,prime,11,Greceanii,10,Zinaida,9,nominating,8,decree,Vladimir_Voronin,False,Zinaida_Greceanîi,21,Greceanii
79,50,MPs,27,date,30,decree,32,submit,34,government,36,program,39,list,41,executive,42,members,44,parliament,8,decree,21,Greceanii,20,Ms,18,constitution,16,Under,14,minister,13,prime,11,Greceanii,10,Zinaida,9,nominating,Vladimir_Voronin,False,Zinaida_Greceanîi,24,days
80,52,endorse,30,decree,32,submit,34,government,36,program,39,list,41,executive,42,members,44,parliament,50,MPs,9,nominating,24,days,21,Greceanii,20,Ms,18,constitution,16,Under,14,minister,13,prime,11,Greceanii,10,Zinaida,Vladimir_Voronin,False,Zinaida_Greceanîi,27,date
81,54,proposals,32,submit,34,government,36,program,39,list,41,executive,42,members,44,parliament,50,MPs,52,endorse,10,Zinaida,27,date,24,days,21,Greceanii,20,Ms,18,constitution,16,Under,14,minister,13,prime,11,Greceanii,Vladimir_Voronin,False,Zinaida_Greceanîi,30,decree
82,-999,,34,government,36,program,39,list,41,executive,42,members,44,parliament,50,MPs,52,endorse,54,proposals,11,Greceanii,30,decree,27,date,24,days,21,Greceanii,20,Ms,18,constitution,16,Under,14,minister,13,prime,Vladimir_Voronin,False,Zinaida_Greceanîi,32,submit
83,-999,,36,program,39,list,41,executive,42,members,44,parliament,50,MPs,52,endorse,54,proposals,-999,,13,prime,32,submit,30,decree,27,date,24,days,21,Greceanii,20,Ms,18,constitution,16,Under,14,minister,Vladimir_Voronin,False,Zinaida_Greceanîi,34,government
84,-999,,39,list,41,executive,42,members,44,parliament,50,MPs,52,endorse,54,proposals,-999,,-999,,14,minister,34,government,32,submit,30,decree,27,date,24,days,21,Greceanii,20,Ms,18,constitution,16,Under,Vladimir_Voronin,False,Zinaida_Greceanîi,36,program
85,-999,,41,executive,42,members,44,parliament,50,MPs,52,endorse,54,proposals,-999,,-999,,-999,,16,Under,36,program,34,government,32,submit,30,decree,27,date,24,days,21,Greceanii,20,Ms,18,constitution,Vladimir_Voronin,False,Zinaida_Greceanîi,39,list
86,-999,,42,members,44,parliament,50,MPs,52,endorse,54,proposals,-999,,-999,,-999,,-999,,18,constitution,39,list,36,program,34,government,32,submit,30,decree,27,date,24,days,21,Greceanii,20,Ms,Vladimir_Voronin,False,Zinaida_Greceanîi,41,executive
87,-999,,44,parliament,50,MPs,52,endorse,54,proposals,-999,,-999,,-999,,-999,,-999,,20,Ms,41,executive,39,list,36,program,34,government,32,submit,30,decree,27,date,24,days,21,Greceanii,Vladimir_Voronin,False,Zinaida_Greceanîi,42,members
88,-999,,50,MPs,52,endorse,54,proposals,-999,,-999,,-999,,-999,,-999,,-999,,21,Greceanii,42,members,41,executive,39,list,36,program,34,government,32,submit,30,decree,27,date,24,days,Vladimir_Voronin,False,Zinaida_Greceanîi,44,parliament
89,72,Economic,52,endorse,54,proposals,57,Zinaida,58,Greceanii,60,born,64,graduated,67,Chisinau,69,based,70,Financial,24,days,44,parliament,42,members,41,executive,39,list,36,program,34,government,32,submit,30,decree,27,date,Vladimir_Voronin,False,Zinaida_Greceanîi,50,MPs
90,73,College,54,proposals,57,Zinaida,58,Greceanii,60,born,64,graduated,67,Chisinau,69,based,70,Financial,72,Economic,27,date,50,MPs,44,parliament,42,members,41,executive,39,list,36,program,34,government,32,submit,30,decree,Vladimir_Voronin,False,Zinaida_Greceanîi,52,endorse
91,76,Moldovan,57,Zinaida,58,Greceanii,60,born,64,graduated,67,Chisinau,69,based,70,Financial,72,Economic,73,College,30,decree,52,endorse,50,MPs,44,parliament,42,members,41,executive,39,list,36,program,34,government,32,submit,Vladimir_Voronin,False,Zinaida_Greceanîi,54,proposals
92,78,University,60,born,64,graduated,67,Chisinau,69,based,70,Financial,72,Economic,73,College,76,Moldovan,77,State,-999,,57,Zinaida,54,proposals,52,endorse,50,MPs,-999,,-999,,-999,,-999,,-999,,Vladimir_Voronin,False,Zinaida_Greceanîi,58,Greceanii
93,80,specialising,64,graduated,67,Chisinau,69,based,70,Financial,72,Economic,73,College,76,Moldovan,77,State,78,University,-999,,58,Greceanii,57,Zinaida,54,proposals,52,endorse,50,MPs,-999,,-999,,-999,,-999,,Vladimir_Voronin,False,Zinaida_Greceanîi,60,born
94,82,economics,67,Chisinau,69,based,70,Financial,72,Economic,73,College,76,Moldovan,77,State,78,University,80,specialising,-999,,60,born,58,Greceanii,57,Zinaida,54,proposals,52,endorse,50,MPs,-999,,-999,,-999,,Vladimir_Voronin,False,Zinaida_Greceanîi,64,graduated
95,84,Since,69,based,70,Financial,72,Economic,73,College,76,Moldovan,77,State,78,University,80,specialising,82,economics,-999,,64,graduated,60,born,58,Greceanii,57,Zinaida,54,proposals,52,endorse,50,MPs,-999,,-999,,Vladimir_Voronin,False,Zinaida_Greceanîi,67,Chisinau
96,91,posts,72,Economic,73,College,76,Moldovan,77,State,78,University,80,specialising,82,economics,84,Since,89,held,-999,,69,based,67,Chisinau,64,graduated,60,born,58,Greceanii,57,Zinaida,54,proposals,52,endorse,50,MPs,Vladimir_Voronin,False,Zinaida_Greceanîi,70,Financial
97,94,Finance,73,College,76,Moldovan,77,State,78,University,80,specialising,82,economics,84,Since,89,held,91,posts,50,MPs,70,Financial,69,based,67,Chisinau,64,graduated,60,born,58,Greceanii,57,Zinaida,54,proposals,52,endorse,Vladimir_Voronin,False,Zinaida_Greceanîi,72,Economic
98,95,Ministry,76,Moldovan,77,State,78,University,80,specialising,82,economics,84,Since,89,held,91,posts,94,Finance,52,endorse,72,Economic,70,Financial,69,based,67,Chisinau,64,graduated,60,born,58,Greceanii,57,Zinaida,54,proposals,Vladimir_Voronin,False,Zinaida_Greceanîi,73,College
99,-999,,77,State,78,University,80,specialising,82,economics,84,Since,89,held,91,posts,94,Finance,95,Ministry,54,proposals,73,College,72,Economic,70,Financial,69,based,67,Chisinau,64,graduated,60,born,58,Greceanii,57,Zinaida,Vladimir_Voronin,False,Zinaida_Greceanîi,76,Moldovan
