,agent,relation,patient,uri
42,Viktor_Yushchenko,urge,unity between sides,http://en.wikinews.org/wiki/Yushchenko_sworn_in
43,Viktor_Yushchenko,add,of freedom over tyranny,http://en.wikinews.org/wiki/Yushchenko_sworn_in
44,Supreme_Court_of_the_United_States,overrule,to delay the ceremony,http://en.wikinews.org/wiki/Yushchenko_sworn_in
45,unofficial results,show,Viktor_Yushchenko,http://en.wikinews.org/wiki/Yushchenko_claims_victory_in_re-run
46,by both sides,accept,the new results,http://en.wikinews.org/wiki/Yushchenko_claims_victory_in_re-run
47,many international observers,criticize,the vote,http://en.wikinews.org/wiki/Yushchenko_claims_victory_in_re-run
48,Vladimir_Putin,motivate,his arrest,http://en.wikinews.org/wiki/Yukos_loses_Chapter_11_bid
49,Yukos,seek,chapter 11 protection,http://en.wikinews.org/wiki/Yukos_loses_Chapter_11_bid
50,the oil company,warrant,chapter 11,http://en.wikinews.org/wiki/Yukos_loses_Chapter_11_bid
51,by the russian authorities,sale,Yuganskneftegaz,http://en.wikinews.org/wiki/Yukos_loses_Chapter_11_bid
52,by a texan court,protection,Yukos,http://en.wikinews.org/wiki/Yukos_loses_Chapter_11_bid
53,outgoing prime minister taro aso,resign,to resign as party leader,http://en.wikinews.org/wiki/Yukio_Hatoyama_named_as_Japan's_new_Prime_Minister
54,Liberal_Democratic_Party_(Japan),encompass,ideologies the party encompasses,http://en.wikinews.org/wiki/Yukio_Hatoyama_named_as_Japan's_new_Prime_Minister
55,Democratic_Party_of_Japan,allocate,a number of cabinet positions,http://en.wikinews.org/wiki/Yukio_Hatoyama_named_as_Japan's_new_Prime_Minister
56,Democratic_Party_of_Japan,work,to the existing stimulus package,http://en.wikinews.org/wiki/Yukio_Hatoyama_named_as_Japan's_new_Prime_Minister
57,the people,show,Liberal_Democratic_Party_(Japan),http://en.wikinews.org/wiki/Yukio_Hatoyama_named_as_Japan's_new_Prime_Minister
58,roughly 30 %25 of ldp supporters,vote,for the victorious dpj,http://en.wikinews.org/wiki/Yukio_Hatoyama_named_as_Japan's_new_Prime_Minister
59,Liberal_Democratic_Party_(Japan),rule,nearly unbroken rule by the ldp,http://en.wikinews.org/wiki/Yukio_Hatoyama_named_as_Japan's_new_Prime_Minister
60,roughly 30 %25 of ldp supporters,supporter,Liberal_Democratic_Party_(Japan),http://en.wikinews.org/wiki/Yukio_Hatoyama_named_as_Japan's_new_Prime_Minister
61,Parliament,elect,Yukio_Hatoyama,http://en.wikinews.org/wiki/Yukio_Hatoyama_formally_elected_Japanese_prime_minister
62,Democratic_Party_of_Japan,obtain,308 of 480 seats,http://en.wikinews.org/wiki/Yukio_Hatoyama_formally_elected_Japanese_prime_minister
63,Democratic_Party_of_Japan,give,a majority in the lower chamber,http://en.wikinews.org/wiki/Yukio_Hatoyama_formally_elected_Japanese_prime_minister
64,the change of power,bring,an end,http://en.wikinews.org/wiki/Yukio_Hatoyama_formally_elected_Japanese_prime_minister
65,Liberal_Democratic_Party_(Japan),rule,nearly unbroken rule by the ldp,http://en.wikinews.org/wiki/Yukio_Hatoyama_formally_elected_Japanese_prime_minister
66,the youths,set,the police station in villiers-le-bel,"http://en.wikinews.org/wiki/Youths_riot_in_Paris_suburb,_attack_police_station"
67,a gang of about 30 youths,stop,each bus with a road block,http://en.wikinews.org/wiki/Youths_burn_buses_in_Paris_one_year_after_riots
68,by young north african muslims immigrants,set,cars and public buildings,http://en.wikinews.org/wiki/Youths_burn_buses_in_Paris_one_year_after_riots
69,a gang of about 30 youths,force,passengers off,http://en.wikinews.org/wiki/Youths_burn_buses_in_Paris_one_year_after_riots
70,a gang of about 30 youths,douse,the bus,http://en.wikinews.org/wiki/Youths_burn_buses_in_Paris_one_year_after_riots
71,to different regions,give,United_Nations,http://en.wikinews.org/wiki/Youth_forum_to_submit_suggestions_to_UN
72,the final day,show,the different perspectives,http://en.wikinews.org/wiki/Youth_forum_to_submit_suggestions_to_UN
73,the youth,create,better international networks,http://en.wikinews.org/wiki/Youth_forum_to_submit_suggestions_to_UN
74,never again,forum,on genocide prevention,http://en.wikinews.org/wiki/Youth_forum_to_submit_suggestions_to_UN
75,the international community,listen,to voices on the ground,http://en.wikinews.org/wiki/Youth_forum_to_submit_suggestions_to_UN
76,the international community,listen,to voices on the ground,http://en.wikinews.org/wiki/Youth_forum_to_submit_suggestions_to_UN
77,Northern_Ireland,charge,a 17 year old youth,http://en.wikinews.org/wiki/Youth_charged_with_murdering_Northern-Irish_police_officer
78,Youssef_Chahine,launch,Omar_Sharif,"http://en.wikinews.org/wiki/Youssef_Chahine,_Egyptian_film_director_dies_at_82"
79,Jakob_Michael_Reinhold_Lenz,participate,us grand prix racers union,http://en.wikinews.org/wiki/Young_motorcycle_racer_Peter_Lenz_dies_in_race_crash_aged_13
80,Jakob_Michael_Reinhold_Lenz,win,nine national championships,http://en.wikinews.org/wiki/Young_motorcycle_racer_Peter_Lenz_dies_in_race_crash_aged_13
81,by his father,post,a comment,http://en.wikinews.org/wiki/Young_motorcycle_racer_Peter_Lenz_dies_in_race_crash_aged_13
82,Jakob_Michael_Reinhold_Lenz,re-spark,the debate over age restrictions,http://en.wikinews.org/wiki/Young_motorcycle_racer_Peter_Lenz_dies_in_race_crash_aged_13
83,the world,lose,one of its brightest lights,http://en.wikinews.org/wiki/Young_motorcycle_racer_Peter_Lenz_dies_in_race_crash_aged_13
84,the speedway officials,decline,to comment on the subject,http://en.wikinews.org/wiki/Young_motorcycle_racer_Peter_Lenz_dies_in_race_crash_aged_13
85,the speedway officials,comment,to comment on the subject,http://en.wikinews.org/wiki/Young_motorcycle_racer_Peter_Lenz_dies_in_race_crash_aged_13
86,district police chief sultan ahmad,chief,district police,http://en.wikinews.org/wiki/Young_child_dies_imitating_Hussein's_execution
87,father of mubashar,say,due to carelessness of parents,http://en.wikinews.org/wiki/Young_child_dies_imitating_Hussein's_execution
88,the father of the deceased boy,attempt,to imitate the hanging,http://en.wikinews.org/wiki/Young_child_dies_imitating_Hussein's_execution
89,from taking place,execution,of 148 iraqi residents of dujail,http://en.wikinews.org/wiki/Young_child_dies_imitating_Hussein's_execution
90,a pakistani boy,get,his older sister,http://en.wikinews.org/wiki/Young_child_dies_imitating_Hussein's_execution
91,other family members,think,they were playing in another room,http://en.wikinews.org/wiki/Young_child_dies_imitating_Hussein's_execution
92,a pakistani boy,hang,Saddam_Hussein,http://en.wikinews.org/wiki/Young_child_dies_imitating_Hussein's_execution
93,the fire,take,to take part,http://en.wikinews.org/wiki/Young_Quakers_disappointed_by_UK_visa_denials
94,England,have,of unprogrammed worship,http://en.wikinews.org/wiki/Young_Quakers_disappointed_by_UK_visa_denials
95,friends planning to meet in kenya,plan,Kenya,http://en.wikinews.org/wiki/Young_Quakers_disappointed_by_UK_visa_denials
96,representatives from the gathering,share,some of the programme,http://en.wikinews.org/wiki/Young_Quakers_disappointed_by_UK_visa_denials
97,for migratory birds traveling from turkey,travel,Turkey,http://en.wikinews.org/wiki/Young_Iraqi_teen_death_investigated_as_possible_bird_flu_case
98,Chris_Crocker,user,YouTube,http://en.wikinews.org/wiki/YouTube_user_gets_instant_fame_for_video_defending_Britney_Spears
99,Chris_Crocker,experience,instant fame,http://en.wikinews.org/wiki/YouTube_user_gets_instant_fame_for_video_defending_Britney_Spears
100,some media attention,attention,the video %27s,http://en.wikinews.org/wiki/YouTube_user_gets_instant_fame_for_video_defending_Britney_Spears
101,the site %27s administrators,prescreen,the video clips,http://en.wikinews.org/wiki/YouTube_to_reward_users_for_posting_creative_videos
102,by 70 million users,submit,about 100 million videos,http://en.wikinews.org/wiki/YouTube_to_reward_users_for_posting_creative_videos
103,with image-recognition screening technology,reach,the popularity enjoyed by youtube,http://en.wikinews.org/wiki/YouTube_to_reward_users_for_posting_creative_videos
104,YouTube,avoid,with videos %27 copyright holders,http://en.wikinews.org/wiki/YouTube_to_reward_users_for_posting_creative_videos
105,with videos %27 copyright holders,holder,videos %27,http://en.wikinews.org/wiki/YouTube_to_reward_users_for_posting_creative_videos
106,YouTube,fulfill,the task of video prescreening,http://en.wikinews.org/wiki/YouTube_to_reward_users_for_posting_creative_videos
107,YouTube,apply,by google %27s best specialists,http://en.wikinews.org/wiki/YouTube_to_reward_users_for_posting_creative_videos
108,YouTube,popularity,with image-recognition screening technology,http://en.wikinews.org/wiki/YouTube_to_reward_users_for_posting_creative_videos
109,YouTube,enjoy,the popularity enjoyed by youtube,http://en.wikinews.org/wiki/YouTube_to_reward_users_for_posting_creative_videos
110,to motivate and reward creativity,suggest,the idea of paying amateur videographers,http://en.wikinews.org/wiki/YouTube_to_reward_users_for_posting_creative_videos
111,YouTube,represent,the most popular site sharing,http://en.wikinews.org/wiki/YouTube_to_reward_users_for_posting_creative_videos
112,Google,retain,all of the revenue,"http://en.wikinews.org/wiki/YouTube_to_remove_100,000_videos"
113,many users on youtube upload,user,YouTube,"http://en.wikinews.org/wiki/YouTube_to_remove_100,000_videos"
114,Viacom,show,many of viacom %27s shows,"http://en.wikinews.org/wiki/YouTube_to_remove_100,000_videos"
115,companies such as cbs,reach,YouTube,"http://en.wikinews.org/wiki/YouTube_to_remove_100,000_videos"
116,companies such as cbs,use,their content,"http://en.wikinews.org/wiki/YouTube_to_remove_100,000_videos"
117,a youtube spokesperson,say,YouTube,"http://en.wikinews.org/wiki/YouTube_to_remove_100,000_videos"
118,Viacom,own,content produced by viacom owned companies,"http://en.wikinews.org/wiki/YouTube_to_remove_100,000_videos"
119,YouTube,generate,from this practice,"http://en.wikinews.org/wiki/YouTube_to_remove_100,000_videos"
120,a youtube spokesperson,say,YouTube,"http://en.wikinews.org/wiki/YouTube_to_remove_100,000_videos"
121,Viacom,produce,content produced by viacom owned companies,"http://en.wikinews.org/wiki/YouTube_to_remove_100,000_videos"
122,YouTube,remove,100%2c000 videos that belonged to them,"http://en.wikinews.org/wiki/YouTube_to_remove_100,000_videos"
123,the online video sharing site youtube,share,video sharing,http://en.wikinews.org/wiki/YouTube_hosts_live_music_events_in_Japan_and_US
124,the video,receive,millions of views,http://en.wikinews.org/wiki/YouTube_hosts_live_music_events_in_Japan_and_US
125,the song,lose,theNewHampshireDemocraticPrimary,http://en.wikinews.org/wiki/YouTube_hosts_live_music_events_in_Japan_and_US
126,some media sources,say,by a notice saying %3a,http://en.wikinews.org/wiki/YouTube_banned_in_Turkey_once_again
127,the article,receive,a lot of attention,http://en.wikinews.org/wiki/YouTube_banned_in_Turkey_once_again
128,Internet_service_provider,use,the domain name system,http://en.wikinews.org/wiki/YouTube_banned_in_Turkey_once_again
129,the domain name system,put,the ban,http://en.wikinews.org/wiki/YouTube_banned_in_Turkey_once_again
130,several shock,offense,Turkey,http://en.wikinews.org/wiki/YouTube_banned_in_Turkey_once_again
131,a turkish court,issue,a similar order,http://en.wikinews.org/wiki/YouTube_banned_in_Turkey_once_again
132,the domain name system,put,the ban,http://en.wikinews.org/wiki/YouTube_banned_in_Turkey_once_again
133,some media sources,say,by a notice saying %3a,http://en.wikinews.org/wiki/YouTube_banned_in_Turkey_once_again
134,several shock,offense,Turkey,http://en.wikinews.org/wiki/YouTube_banned_in_Turkey_once_again
135,YouTube,send,that the video had been removed,http://en.wikinews.org/wiki/YouTube_banned_in_Turkey_once_again
136,YouTube,have,in many countries including taiwan,http://en.wikinews.org/wiki/YouTube_announced_the_release_of_Taiwan_Traditional_Chinese_website
137,YouTube,invite,registered users,http://en.wikinews.org/wiki/YouTube_announced_the_release_of_Taiwan_Traditional_Chinese_website
138,Steve_Chen,explain,the reason choosing %27%27,http://en.wikinews.org/wiki/YouTube_announced_the_release_of_Taiwan_Traditional_Chinese_website
139,tw %27%27 address %2c %60%60,think,taiwan should also be,http://en.wikinews.org/wiki/YouTube_announced_the_release_of_Taiwan_Traditional_Chinese_website
140,YouTube,access,taiwan site,http://en.wikinews.org/wiki/YouTube_announced_the_release_of_Taiwan_Traditional_Chinese_website
141,the reusers,credit,the original creators of those videos,http://en.wikinews.org/wiki/YouTube_allows_users_to_share_videos_under_Creative_Commons_license
142,their video editor,hold,Creative_Commons,http://en.wikinews.org/wiki/YouTube_allows_users_to_share_videos_under_Creative_Commons_license
143,other people %27s,content,Creative_Commons,http://en.wikinews.org/wiki/YouTube_allows_users_to_share_videos_under_Creative_Commons_license
144,YouTube,protect,everyone %27s copyright,http://en.wikinews.org/wiki/YouTube_allows_users_to_share_videos_under_Creative_Commons_license
145,this action,help,regarding copyright on youtube,http://en.wikinews.org/wiki/YouTube_allows_users_to_share_videos_under_Creative_Commons_license
146,of its free online video editor,host,Creative_Commons,http://en.wikinews.org/wiki/YouTube_allows_users_to_share_videos_under_Creative_Commons_license
147,individual users,release,their own videos,http://en.wikinews.org/wiki/YouTube_allows_users_to_share_videos_under_Creative_Commons_license
148,the original creators of those videos,creator,of those videos,http://en.wikinews.org/wiki/YouTube_allows_users_to_share_videos_under_Creative_Commons_license
149,neither christman nor bunker,explain,YouTube,http://en.wikinews.org/wiki/YouTube_accounts_of_Scientology_critics_suspended
150,their terms for copyright materials,violate,any of their terms,http://en.wikinews.org/wiki/YouTube_accounts_of_Scientology_critics_suspended
151,Scientology,want,to see that,http://en.wikinews.org/wiki/YouTube_accounts_of_Scientology_critics_suspended
152,Wikinews,comment,on the suspension of her account,http://en.wikinews.org/wiki/YouTube_accounts_of_Scientology_critics_suspended
153,i%27 m pretty sure,know,your account is suspended,http://en.wikinews.org/wiki/YouTube_accounts_of_Scientology_critics_suspended
154,the people,know,what is going on,http://en.wikinews.org/wiki/YouTube_accounts_of_Scientology_critics_suspended
155,this evening,say,i would like to know why,http://en.wikinews.org/wiki/YouTube_accounts_of_Scientology_critics_suspended
156,YouTube,suspend,a while,http://en.wikinews.org/wiki/YouTube_accounts_of_Scientology_critics_suspended
157,the suspension of bunker %27s account,have,every intention of either,http://en.wikinews.org/wiki/YouTube_accounts_of_Scientology_critics_suspended
158,Church_of_Scientology,pay,that %27s kind of weird,http://en.wikinews.org/wiki/YouTube_accounts_of_Scientology_critics_suspended
159,two well-known critics of scientology,have,their user accounts,http://en.wikinews.org/wiki/YouTube_accounts_of_Scientology_critics_suspended
160,two well-known critics of scientology,critic,Scientology,http://en.wikinews.org/wiki/YouTube_accounts_of_Scientology_critics_suspended
161,YouTube,suspend,a while,http://en.wikinews.org/wiki/YouTube_accounts_of_Scientology_critics_suspended
162,neither christman nor bunker,explain,YouTube,http://en.wikinews.org/wiki/YouTube_accounts_of_Scientology_critics_suspended
163,neither christman nor bunker,receive,a notice about the suspension,http://en.wikinews.org/wiki/YouTube_accounts_of_Scientology_critics_suspended
164,YouTube,notice,a notice about the suspension,http://en.wikinews.org/wiki/YouTube_accounts_of_Scientology_critics_suspended
165,tory christman,have,her account,http://en.wikinews.org/wiki/YouTube_accounts_of_Scientology_critics_suspended
166,Wikinews,confirm,the ip address,http://en.wikinews.org/wiki/YouTube_accounts_of_Scientology_critics_suspended
167,Wikinews,interview,Internet_Relay_Chat,http://en.wikinews.org/wiki/YouTube_accounts_of_Scientology_critics_suspended
168,Thailand,see,contents that violate thai laws,http://en.wikinews.org/wiki/YouTube_access_returns_to_Thailand
169,the ministry,unblock,YouTube,http://en.wikinews.org/wiki/YouTube_access_returns_to_Thailand
170,the ministry,unblock,YouTube,http://en.wikinews.org/wiki/YouTube_access_returns_to_Thailand
171,the ministry,unblock,YouTube,http://en.wikinews.org/wiki/YouTube_access_returns_to_Thailand
172,on the popular social networking site,draw,pictures of the prophet mohammed,"http://en.wikinews.org/wiki/YouTube,_Facebook_blocked_in_Pakistan"
173,the pakistani government,cite,%60%60 growing sacrilegious %27%27 content,"http://en.wikinews.org/wiki/YouTube,_Facebook_blocked_in_Pakistan"
174,the government,decide,to unblock it,"http://en.wikinews.org/wiki/YouTube,_Facebook_blocked_in_Pakistan"
175,the pakistani government,block,the site,"http://en.wikinews.org/wiki/YouTube,_Facebook_blocked_in_Pakistan"
176,a pakistani court,order,all internet service providers,"http://en.wikinews.org/wiki/YouTube,_Facebook_blocked_in_Pakistan"
177,on the popular social networking site,picture,pictures of the prophet mohammed,"http://en.wikinews.org/wiki/YouTube,_Facebook_blocked_in_Pakistan"
178,the pakistani government,block,the site,"http://en.wikinews.org/wiki/YouTube,_Facebook_blocked_in_Pakistan"
179,Pakistan,access,FacebookandYouTube,"http://en.wikinews.org/wiki/YouTube,_Facebook_blocked_in_Pakistan"
180,the pakistani government,block,the site,"http://en.wikinews.org/wiki/YouTube,_Facebook_blocked_in_Pakistan"
181,the court,leave,to leave the country,"http://en.wikinews.org/wiki/Yingluck_Shinawatra,_former_Thai_prime_minister,_begins_her_trial_in_Bangkok_over_corruption_allegations"
182,by her political opponents,allege,support from poor rice farmers,"http://en.wikinews.org/wiki/Yingluck_Shinawatra,_former_Thai_prime_minister,_begins_her_trial_in_Bangkok_over_corruption_allegations"
183,the court,forbid,to leave the country,"http://en.wikinews.org/wiki/Yingluck_Shinawatra,_former_Thai_prime_minister,_begins_her_trial_in_Bangkok_over_corruption_allegations"
184,the subsidy scheme,prop,rice prices,"http://en.wikinews.org/wiki/Yingluck_Shinawatra,_former_Thai_prime_minister,_begins_her_trial_in_Bangkok_over_corruption_allegations"
185,former thai prime minister yingluck shinawatra,begin,her trial,"http://en.wikinews.org/wiki/Yingluck_Shinawatra,_former_Thai_prime_minister,_begins_her_trial_in_Bangkok_over_corruption_allegations"
186,by a military coup,remove,the former prime minister,"http://en.wikinews.org/wiki/Yingluck_Shinawatra,_former_Thai_prime_minister,_begins_her_trial_in_Bangkok_over_corruption_allegations"
187,Yemen,suffer,a string of kidnappings,http://en.wikinews.org/wiki/Yemeni_troops_search_for_missing_hostages
188,this event,constitute,against the peaceful principles of islam,http://en.wikinews.org/wiki/Yemeni_troops_search_for_missing_hostages
189,the group of nine,have,a picnic on friday,http://en.wikinews.org/wiki/Yemeni_troops_search_for_missing_hostages
190,the group of nine,picnic,a picnic on friday,http://en.wikinews.org/wiki/Yemeni_troops_search_for_missing_hostages
191,Comoros,have,no navy,http://en.wikinews.org/wiki/Yemeni_passenger_plane_with_153_people_onboard_crashes_into_Indian_Ocean
192,Comoros,leave,little to no sea rescue resources,http://en.wikinews.org/wiki/Yemeni_passenger_plane_with_153_people_onboard_crashes_into_Indian_Ocean
193,an unnamed police official,say,no sea rescue capabilities,http://en.wikinews.org/wiki/Yemeni_passenger_plane_with_153_people_onboard_crashes_into_Indian_Ocean
194,YemeniaAirways,travel,Said_Ibrahim_of_Grand_Comore,http://en.wikinews.org/wiki/Yemeni_passenger_plane_with_153_people_onboard_crashes_into_Indian_Ocean
195,media and aid,have,limited access to the area,http://en.wikinews.org/wiki/Yemen_rebels_accuse_Saudi_forces_of_killing_54_people
196,of the shi%27ite zaidi group,accuse,saudi armed forces,http://en.wikinews.org/wiki/Yemen_rebels_accuse_Saudi_forces_of_killing_54_people
197,by air-strikes,target,the town of al-nadeer,http://en.wikinews.org/wiki/Yemen_rebels_accuse_Saudi_forces_of_killing_54_people
198,of the shi%27ite zaidi group,kill,two saudi guards,http://en.wikinews.org/wiki/Yemen_rebels_accuse_Saudi_forces_of_killing_54_people
199,media and aid,access,to the area,http://en.wikinews.org/wiki/Yemen_rebels_accuse_Saudi_forces_of_killing_54_people
200,saudi forces,launch,an offensive,http://en.wikinews.org/wiki/Yemen_rebels_accuse_Saudi_forces_of_killing_54_people
201,Saudi_Arabia,comment,on the allegations,http://en.wikinews.org/wiki/Yemen_rebels_accuse_Saudi_forces_of_killing_54_people
202,of the shi%27ite zaidi group,kill,two saudi guards,http://en.wikinews.org/wiki/Yemen_rebels_accuse_Saudi_forces_of_killing_54_people
203,the pair,find,real-life romance,http://en.wikinews.org/wiki/Yemen's_first-ever_feature_film_to_be_screened_at_Cannes_Festival
204,the most people viewing this film,view,this film,http://en.wikinews.org/wiki/Yemen's_first-ever_feature_film_to_be_screened_at_Cannes_Festival
205,by the 10th century,describe,Ahmad_ibn_Rustah,http://en.wikinews.org/wiki/Yemen's_first-ever_feature_film_to_be_screened_at_Cannes_Festival
206,the pair,bow,to tradition,http://en.wikinews.org/wiki/Yemen's_first-ever_feature_film_to_be_screened_at_Cannes_Festival
207,the pair,exchange,wedding vows,http://en.wikinews.org/wiki/Yemen's_first-ever_feature_film_to_be_screened_at_Cannes_Festival
208,ben hirsi,comment,on his film,http://en.wikinews.org/wiki/Yemen's_first-ever_feature_film_to_be_screened_at_Cannes_Festival
209,film market,portion,of the cannes festival,http://en.wikinews.org/wiki/Yemen's_first-ever_feature_film_to_be_screened_at_Cannes_Festival
210,the machine,expand,china %27s small domestic semiconductor industry,http://en.wikinews.org/wiki/Yellow_Sheep_River_develops_%e2%82%ac123_Linux_based_computer
211,by local governments,subsidize,its development,http://en.wikinews.org/wiki/Yellow_Sheep_River_develops_%e2%82%ac123_Linux_based_computer
212,the machine,help,bridge the digital divide in china,http://en.wikinews.org/wiki/Yellow_Sheep_River_develops_%e2%82%ac123_Linux_based_computer
213,Skype,application,Voice_over_IP,http://en.wikinews.org/wiki/Yellow_Sheep_River_develops_%e2%82%ac123_Linux_based_computer
214,the municator,run,Microsoft,http://en.wikinews.org/wiki/Yellow_Sheep_River_develops_%e2%82%ac123_Linux_based_computer
215,the godson ii,consume,relatively little power,http://en.wikinews.org/wiki/Yellow_Sheep_River_develops_%e2%82%ac123_Linux_based_computer
216,the municator,measure,14.5 x 18 x 3.7 cm,http://en.wikinews.org/wiki/Yellow_Sheep_River_develops_%e2%82%ac123_Linux_based_computer
217,Microsoft,support,the godson ii,http://en.wikinews.org/wiki/Yellow_Sheep_River_develops_%e2%82%ac123_Linux_based_computer
218,banners at cebit 2006,say,say no to wintel try now,http://en.wikinews.org/wiki/Yellow_Sheep_River_develops_%e2%82%ac123_Linux_based_computer
219,banners at cebit 2006,proclaim,say no to wintel try now,http://en.wikinews.org/wiki/Yellow_Sheep_River_develops_%e2%82%ac123_Linux_based_computer
220,from yell,threat,the threat of legal action,http://en.wikinews.org/wiki/Yell_threatens_to_shut_down_Yellowikis
221,to shut us down,look,like a sign of desperation,http://en.wikinews.org/wiki/Yell_threatens_to_shut_down_Yellowikis
222,using the name yellowikis,constitute,an %60 instrument of fraud,http://en.wikinews.org/wiki/Yell_threatens_to_shut_down_Yellowikis
223,Gaidar,work,an acting prime minister of russia,"http://en.wikinews.org/wiki/Yegor_Gaidar,_Russian_economist_and_politician,_dies_at_53"
